search_term,text,href,company_text,location_text,datetime,time_ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4518924,PT Tatalogam Lestari,Jakarta Barat,2023-11-04 02:45:15,1d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4517996,PT. Aleyah Sintasint Farma,Kulon Progo,2023-11-03 03:57:28,2d ago
Data-Analyst,CRM Business Analyst (Data Analyst),https://www.jobstreet.co.id/en/job/crm-business-analyst-data-analyst-4517951,Time International,Jakarta Raya,2023-11-03 03:39:53,2d ago
Data-Analyst,Regional Data Analyst (Yogyakarta),https://www.jobstreet.co.id/en/job/regional-data-analyst-yogyakarta-4518350,PT Smartfren Telecom Tbk,Yogyakarta,2023-11-03 07:37:58,2d ago
Data-Analyst,Supply Chain Data Analyst Sr. Staff,https://www.jobstreet.co.id/en/job/supply-chain-data-analyst-sr.-staff-4516508,PT Sukanda Djaya,Bekasi,2023-11-02 02:06:39,3d ago
Data-Analyst,IT Data Analyst (BW & BI),https://www.jobstreet.co.id/en/job/it-data-analyst-bw-bi-4515404,PT Foodex Inti Ingredients,Cikarang,2023-11-01 02:46:07,4d ago
Data-Analyst,Data Analyst - OVAL Data,https://www.jobstreet.co.id/en/job/data-analyst-oval-data-4515667,Kompas Gramedia - KG Media,Jakarta Pusat,2023-11-01 04:33:54,4d ago
Data-Analyst,Operational Excellence Data Analyst,https://www.jobstreet.co.id/en/job/operational-excellence-data-analyst-4515259,PT Softex Indonesia,Karawang,2023-11-01 01:28:32,4d ago
Data-Analyst,Data Analyst Staff,https://www.jobstreet.co.id/en/job/data-analyst-staff-4514930,PT Ultra Prima Abadi (Orang Tua Group),Jakarta Raya,2023-10-31 08:58:10,5d ago
Data-Analyst,Data Strategist/ Data Analyst,https://www.jobstreet.co.id/en/job/data-strategist-data-analyst-4514385,I CAN READ,Jakarta Raya,2023-10-31 04:38:24,5d ago
Data-Analyst,Accounting & Data Analyst,https://www.jobstreet.co.id/en/job/accounting-data-analyst-4511475,PT Bangja Inti Ingridien,Sidoarjo,2023-10-27 04:20:45,9d ago
Data-Analyst,Head of Analytics,https://www.jobstreet.co.id/en/job/head-of-analytics-4513479,PT Ewaysindo Makmur (Jakarta),Jakarta Pusat,2023-10-30 08:38:13,6d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4512040,PT Nirwana Lestari.,Bekasi,2023-10-27 09:57:18,9d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4509981,Musim Mas,Medan,2023-10-26 02:08:12,10d ago
Data-Analyst,DATA ANALYST - DKI JAKARTA,https://www.jobstreet.co.id/en/job/data-analyst-dki-jakarta-4511667,PT Exa Mitra Solusi,Jakarta Barat,2023-10-27 06:56:03,9d ago
Data-Analyst,DATA ANALYST,https://www.jobstreet.co.id/en/job/data-analyst-4511840,Meilani Statistical Consulting,Yogyakarta,2023-10-27 08:17:28,9d ago
Data-Analyst,Marketing Data Analyst,https://www.jobstreet.co.id/en/job/marketing-data-analyst-4511704,PT Tunas Ridean,Bandar Lampung,2023-10-27 07:16:21,9d ago
Data-Analyst,"Data Analyst Marketing ,Lokasi Kerja : Malajaya, kab Bandung.",https://www.jobstreet.co.id/en/job/data-analyst-marketing-lokasi-kerja-%3A-malajaya-kab-bandung.-4511172,PT Multi Star Rukun Abadi (Sharon Bakery),Bandung,2023-10-27 02:08:46,9d ago
Data-Analyst,Internship - Data Analyst,https://www.jobstreet.co.id/en/job/internship-data-analyst-4509299,PZ Cussons Indonesia,Jakarta Raya,2023-10-25 06:45:04,11d ago
Data-Analyst,Channel Data Analyst Specialist,https://www.jobstreet.co.id/en/job/channel-data-analyst-specialist-4511585,PT Arya Noble,Jakarta Selatan,2023-10-27 05:43:11,9d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4509877,INDONESIA PALM OIL STRATEGIC STUDIES,Jakarta Pusat,2023-10-25 15:47:12,11d ago
Data-Analyst,PROCUREMENT DATA ANALYST,https://www.jobstreet.co.id/en/job/procurement-data-analyst-4510293,PT Pesta Pora Abadi,Malang,2023-10-26 04:25:23,10d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4509173,PT Suzuki Indomobil Motor,Jakarta Timur,2023-10-25 04:50:22,11d ago
Data-Analyst,Data Analyst Assistant Manager,https://www.jobstreet.co.id/en/job/data-analyst-assistant-manager-4510161,PT. FWD Insurance Indonesia ( HO ),Jakarta Raya,2023-10-26 03:32:40,10d ago
Data-Analyst,SALES DATA  ANALYST,https://www.jobstreet.co.id/en/job/sales-data-analyst-4510330,PT Wisnu Ananda Jaya,Jakarta Raya,2023-10-26 04:47:32,10d ago
Data-Analyst,Manager Operational Performance,https://www.jobstreet.co.id/en/job/manager-operational-performance-4509995,PT Administrasi Medika,Jakarta Pusat,2023-10-26 02:15:39,10d ago
Data-Analyst,Data Analyst Manager (Kendari & Balikpapan),https://www.jobstreet.co.id/en/job/data-analyst-manager-kendari-balikpapan-4509386,PT Kumala Cemerlang Abadi,Kalimantan Timur,2023-10-25 07:12:48,11d ago
Data-Analyst,Admin Project Manager,https://www.jobstreet.co.id/en/job/admin-project-manager-1037292624,PT Bixbox Teknologi Perkasa,Yogyakarta,2023-10-29 16:00:00,7d ago
Data-Analyst,GIS Data Analyst (Intern),https://www.jobstreet.co.id/en/job/gis-data-analyst-intern-4509271,PT Datacomm Diangraha,Jakarta Selatan,2023-10-25 06:35:21,11d ago
Data-Analyst,DATA ANALIS,https://www.jobstreet.co.id/en/job/data-analis-4508140,PT Aroma Prima Livindo,Tangerang,2023-10-24 07:16:28,12d ago
